SIFT_pred	LRT_pred	MutationTaster_pred	FATHMM_pred	clinvar_clnsig
.	N	N	.	Benign
.	N	N	.	Uncertain_significance
.	N	D	.	Pathogenic
.	N	N	.	Uncertain_significance
.	N	P	.	Benign
.	N	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	D	.	Pathogenic
.	N	N	.	Likely_benign
.	N	N	.	Likely_benign
D	U	N	T	Uncertain_significance
T	N	N	T	Benign/Likely_benign
T	U	N	T	Uncertain_significance
T	U	N	T	Uncertain_significance
T	U	N	T	Conflicting_interpretations_of_pathogenicity
D	U	N	T	Uncertain_significance
T	U	N	T	Uncertain_significance
D	U	D	T	Pathogenic
D	U	D	T	Pathogenic
D	U	N	T	Uncertain_significance
D	U	N	T	Likely_benign
.	U	N	.	Likely_benign
.	N	N	.	Uncertain_significance
.	D	D	.	Conflicting_interpretations_of_pathogenicity
.	N	D	.	Benign/Likely_benign
.	N	N	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	A	.	Pathogenic
.	N	N	.	Benign
.	N	N	.	Benign/Likely_benign
.	N	N	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	N	N	.	Likely_benign
.	N	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	N	D	.	Likely_benign
.	N	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Benign/Likely_benign
.	N	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	D	D	.	Benign/Likely_benign
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Benign/Likely_benign
.	D	D	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Benign
.	D	D	.	Uncertain_significance
.	N	N	.	Likely_benign
.	N	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	N	N	.	Benign
.	D	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	N	.	Conflicting_interpretations_of_pathogenicity
.	N	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	N	.	Benign/Likely_benign
.	N	N	.	Uncertain_significance
.	N	N	.	Benign/Likely_benign
.	N	N	.	Uncertain_significance
.	D	D	.	Benign
.	D	D	.	Uncertain_significance
.	N	D	.	Benign
.	D	D	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	D	D	.	Likely_benign
.	N	D	.	Uncertain_significance
.	U	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	D	D	.	Likely_benign
.	N	D	.	Uncertain_significance
.	D	D	.	Uncertain_significance
.	N	D	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	U	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	N	.	Uncertain_significance
.	N	N	.	Benign/Likely_benign
.	N	N	.	Likely_benign
